Site Code,Date,Status,Bandwidth Utilization,Unique Users,Remarks
SINAG-R2-0001A,2026-01-08,UP,3.06,7,
SINAG-R2-0001A,2026-01-09,UP,0.01407,8,
SINAG-R2-0001A,2026-01-12,UP,0.002,6,
